time,altitude,acc_x,vel_x,roll,pitch,yaw
4.660000,1336.812256,9.593014,0.677490,-20.510448,-2.159346,1.019651
4.680000,1336.825317,9.593574,0.653076,-20.595900,-2.165955,1.026659
4.700000,1336.815430,9.593323,-0.494385,-20.681488,-2.172603,1.033529
4.720000,1336.770874,9.593092,-2.227783,-20.767300,-2.179339,1.040525
4.740000,1336.719482,9.591731,-2.569580,-20.853201,-2.186165,1.047523
4.760000,1336.746948,9.592776,1.373291,-20.939201,-2.192801,1.054621
4.780000,1336.782471,9.590292,1.776123,-21.024828,-2.199517,1.061689
4.800000,1336.771362,9.589538,-0.555420,-21.110107,-2.206293,1.068728
4.820000,1336.753296,9.592672,-0.903320,-21.194752,-2.212971,1.075822
4.840000,1336.724243,9.591345,-1.452637,-21.278446,-2.219659,1.082880
4.860000,1336.688354,9.592421,-1.794434,-21.361502,-2.226418,1.089896
4.880000,1336.692261,9.593793,0.195312,-21.444183,-2.233143,1.096890
4.900000,1336.730103,9.591610,1.892090,-21.526741,-2.239999,1.103897
4.920000,1336.754150,9.592665,1.202393,-21.609972,-2.246805,1.110931
4.940000,1336.752197,9.590189,-0.097656,-21.693829,-2.253532,1.117978
4.960000,1336.744629,9.590591,-0.378418,-21.778135,-2.260349,1.125167
4.980000,1336.713379,9.590196,-1.562500,-21.863081,-2.267081,1.132364
5.000000,1336.678955,9.590215,-1.721191,-21.948503,-2.273741,1.139569
5.020000,1336.696533,9.585638,0.878906,-22.034475,-2.280353,1.146795
5.040000,1336.693726,9.590616,-0.140381,-22.120739,-2.286840,1.154001
5.060000,1336.713867,9.590219,1.007080,-22.207468,-2.292828,1.161335
5.080000,1336.672363,9.591384,-2.075195,-22.294308,-2.298888,1.168653
5.100000,1336.682861,9.587480,0.524902,-22.379313,-2.303944,1.175883
5.120000,1336.697632,9.590396,0.738525,-22.463305,-2.308340,1.183082
5.140000,1336.685913,9.589251,-0.585938,-22.547375,-2.312778,1.190408
5.160000,1336.663086,9.590494,-1.141357,-22.632088,-2.317237,1.197760
5.180000,1336.685059,9.592787,1.098633,-22.716604,-2.322063,1.205106
5.200000,1336.721802,9.591833,1.837158,-22.801493,-2.327104,1.212469
5.220000,1336.761841,9.590190,2.001953,-22.886726,-2.332347,1.219854
5.240000,1336.743042,9.590210,-0.939941,-22.972399,-2.337725,1.227245
5.260000,1336.711060,9.593290,-1.599121,-23.059256,-2.343078,1.234666
5.280000,1336.688477,9.592297,-1.129150,-23.145853,-2.348537,1.242058
5.300000,1336.720703,9.592530,1.611328,-23.232327,-2.354110,1.249437
5.320000,1336.685913,9.593894,-1.739502,-23.318012,-2.359651,1.256872
5.340000,1336.667725,9.589406,-0.909424,-23.402731,-2.365377,1.264283
5.360000,1336.660889,9.590254,-0.341797,-23.487476,-2.371232,1.271700
5.380000,1336.746460,9.590652,4.278564,-23.571674,-2.377230,1.278946
5.400000,1336.732910,9.591783,-0.677490,-23.654919,-2.383342,1.286278
5.420000,1336.735840,9.590143,0.146484,-23.737284,-2.389421,1.293454
5.440000,1336.734985,9.593613,-0.042725,-23.818495,-2.395514,1.300604
5.460000,1336.722168,9.589530,-0.640869,-23.898867,-2.401753,1.307639
5.480000,1336.684326,9.587305,-1.892090,-23.979031,-2.407959,1.314798
5.500000,1336.675293,9.587938,-0.451660,-24.059544,-2.414178,1.322122
5.520000,1336.682617,9.589287,0.366211,-24.141050,-2.420523,1.329523
5.540000,1336.667236,9.592824,-0.769043,-24.224051,-2.426886,1.336985
5.560000,1336.640137,9.594930,-1.354980,-24.307747,-2.433142,1.344463
5.580000,1336.621460,9.593422,-0.933838,-24.392630,-2.439221,1.352003
5.600000,1336.657349,9.593948,1.794434,-24.478510,-2.445296,1.359567
5.620000,1336.664795,9.594050,0.372314,-24.564198,-2.451370,1.367099
5.640000,1336.658203,9.593761,-0.329590,-24.649340,-2.457489,1.374602
5.660000,1336.659912,9.595027,0.085449,-24.732967,-2.462302,1.381912
5.680000,1336.645142,9.595426,-0.738525,-24.814838,-2.466319,1.389284
5.700000,1336.604248,9.597707,-2.044678,-24.896130,-2.470016,1.396639
5.720000,1336.632935,9.597891,1.434326,-24.976793,-2.474333,1.404098
5.740000,1336.665039,9.599209,1.605225,-25.056808,-2.477833,1.411570
5.760000,1336.634888,9.596593,-1.507568,-25.137165,-2.480835,1.419068
5.780000,1336.689453,9.595717,2.728271,-25.217611,-2.484085,1.426595
5.800000,1336.715576,9.594529,1.306152,-25.299047,-2.487637,1.434185
5.820000,1336.724121,9.595350,0.427246,-25.381060,-2.491367,1.441767
5.840000,1336.757446,9.591128,1.666260,-25.463150,-2.495317,1.449235
5.860000,1336.727051,9.588776,-1.519775,-25.545425,-2.499343,1.456710
5.880000,1336.735352,9.592354,0.415039,-25.626970,-2.503675,1.464149
5.900000,1336.694946,9.590669,-2.020264,-25.707838,-2.508387,1.471605
5.920000,1336.672974,9.591415,-1.098633,-25.788313,-2.513216,1.479032
5.940000,1336.661255,9.591337,-0.585938,-25.867840,-2.518165,1.486461
5.960000,1336.692627,9.592031,1.568604,-25.947405,-2.523308,1.493931
5.980000,1336.661621,9.591520,-1.550293,-26.027218,-2.528479,1.501434
6.000000,1336.637451,9.589902,-1.208496,-26.107485,-2.533682,1.509098
6.020000,1336.630493,9.589945,-0.347900,-26.188726,-2.538870,1.516922
6.040000,1336.624878,9.589984,-0.280762,-26.271095,-2.544067,1.524919
6.060000,1336.614746,9.590020,-0.506592,-26.354275,-2.549183,1.532909
6.080000,1336.595825,9.590436,-0.946045,-26.438530,-2.554153,1.540933
6.100000,1336.546753,9.592350,-2.453613,-26.523561,-2.559187,1.548856
6.120000,1336.556519,9.592196,0.488281,-26.608849,-2.564309,1.556786
6.140000,1336.571045,9.591673,0.726318,-26.693932,-2.569371,1.564797
6.160000,1336.605103,9.591191,1.702881,-26.778471,-2.574428,1.572776
6.180000,1336.632080,9.589216,1.348877,-26.862297,-2.579608,1.580724
6.200000,1336.661011,9.590845,1.446533,-26.945572,-2.584766,1.588639
6.220000,1336.694458,9.591578,1.672363,-27.027889,-2.590052,1.596516
6.240000,1336.727783,9.593018,1.666260,-27.108982,-2.595459,1.604342
6.260000,1336.722778,9.590897,-0.250244,-27.189257,-2.600115,1.612045
6.280000,1336.729736,9.592391,0.347900,-27.267786,-2.604057,1.619677
6.300000,1336.739502,9.591469,0.488281,-27.345909,-2.607017,1.627210
6.320000,1336.763672,9.594449,1.208496,-27.424240,-2.609347,1.634881
6.340000,1336.756836,9.593362,-0.341797,-27.503550,-2.611819,1.642754
6.360000,1336.784302,9.595042,1.373291,-27.583309,-2.614149,1.650652
6.380000,1336.795532,9.594674,0.561523,-27.663498,-2.616781,1.658565
6.400000,1336.741211,9.595100,-2.716064,-27.744747,-2.619731,1.666559
6.420000,1336.716553,9.592047,-1.232910,-27.826641,-2.622783,1.674677
6.440000,1336.708618,9.591152,-0.396729,-27.908901,-2.625950,1.682911
6.460000,1336.626953,9.591861,-4.083252,-27.991385,-2.629101,1.691127
6.480000,1336.647583,9.591364,1.031494,-28.073954,-2.632388,1.699457
6.500000,1336.625366,9.594735,-1.110840,-28.156042,-2.635776,1.707843
6.520000,1336.600830,9.592477,-1.226807,-28.238247,-2.639253,1.716204
6.540000,1336.615601,9.594610,0.738525,-28.320221,-2.642835,1.724647
6.560000,1336.557495,9.590447,-2.905273,-28.401867,-2.646648,1.733062
6.580000,1336.525635,9.594275,-1.593018,-28.483553,-2.650638,1.741452
6.600000,1336.535278,9.590904,0.482178,-28.565039,-2.654550,1.749799
6.620000,1336.515503,9.592398,-0.988770,-28.646566,-2.658541,1.758145
6.640000,1336.549927,9.592240,1.721191,-28.728239,-2.662579,1.766369
6.660000,1336.566284,9.592861,0.817871,-28.809710,-2.666668,1.774580
6.680000,1336.564209,9.591136,-0.103760,-28.890890,-2.670943,1.782789
6.700000,1336.569336,9.591463,0.256348,-28.971899,-2.675254,1.790991
6.720000,1336.580566,9.592529,0.561523,-29.052853,-2.679631,1.799213
6.740000,1336.549805,9.589682,-1.538086,-29.134228,-2.684113,1.807449
6.760000,1336.550049,9.590125,0.012207,-29.216087,-2.688613,1.815836
6.780000,1336.560059,9.595127,0.500488,-29.298157,-2.693101,1.824333
6.800000,1336.549072,9.593987,-0.549316,-29.380440,-2.697704,1.832943
6.820000,1336.534424,9.593702,-0.732422,-29.462904,-2.702287,1.841649
6.840000,1336.535400,9.593058,0.048828,-29.545324,-2.706932,1.850526
6.860000,1336.542358,9.592082,0.347900,-29.627733,-2.710258,1.859385
6.880000,1336.529541,9.589653,-0.640869,-29.710417,-2.712711,1.868075
6.900000,1336.597046,9.588567,3.375244,-29.793240,-2.715051,1.876614
6.920000,1336.578857,9.589482,-0.909424,-29.874702,-2.716602,1.885200
6.940000,1336.558960,9.586879,-0.994873,-29.955132,-2.717395,1.893711
6.960000,1336.557739,9.590992,-0.061035,-30.034868,-2.718505,1.902179
6.980000,1336.606445,9.589799,2.435303,-30.114197,-2.719900,1.910618
7.000000,1336.599243,9.589849,-0.360107,-30.193256,-2.721788,1.919045
7.020000,1336.605347,9.592959,0.305176,-30.271847,-2.724005,1.927329
7.040000,1336.584839,9.592375,-1.025391,-30.350330,-2.726520,1.935612
7.060000,1336.585693,9.593369,0.042725,-30.428608,-2.729224,1.943905
7.080000,1336.564209,9.592751,-1.074219,-30.507137,-2.732203,1.952346
7.100000,1336.579346,9.595245,0.756836,-30.586336,-2.735275,1.960813
7.120000,1336.573730,9.590650,-0.280762,-30.666069,-2.738537,1.969296
7.140000,1336.610840,9.591781,1.855469,-30.746487,-2.741845,1.977913
7.160000,1336.570923,9.592439,-1.995850,-30.827320,-2.745209,1.986645
7.180000,1336.625977,9.594958,2.752686,-30.908087,-2.748630,1.995348
7.200000,1336.599976,9.594979,-1.300049,-30.989237,-2.752202,2.003937
